"Data last updated November, 01 2020",,,,,,,,,,,,,,,,,,,,,,,,,,
Name of the initiative,Type of the initiative,Status of the initiative,Year of implementation,Description of the initiative,Recent developments,Jurisdictions covered,GHG emissions in the jurisdiction (2012),Share of jurisdiction's GHG emissions covered,Sectors and/or fuels covered,Proportion of GHG emissions covered overlapping with other carbon pricing initiatives,"Cap or total emission units (current year or latest year available, ETS only)",Allocation approaches (ETS only),Competitiveness considerations and/or exemptions,Point of regulation,Compliance cycle,Use of offsets,Price level,Price/market stabilization mechanisms (ETS only),Future price developments (Carbon tax only),Government revenues (previous year),Value (current year),Relation to other carbon pricing initiatives,Cooperations,Links to official sources,To find out more,Contributions
Netherlands carbon tax,Carbon tax,Under consideration,TBC,"In June 2019, the Netherlands government presented a National Climate Agreement, which included the support for further strengthening of the EU ETS and also contains two measures of national carbon pricing. In the climate agreement a carbon price floor for electricity generators covered under the EU ETS is agreed upon, including facilities in the power sector and electricity generators, including those in the industry sector. The carbon price floor aims to provide long-term certainty on the carbon costs electricity producers face and to ensure these costs are considered in investment decisions.  If EUA prices are below the carbon floor price, covered facilities will be required to pay the difference between the two in the form of a tax, in addition to meeting their compliance obligations under the EU ETS.    The Dutch government also announced the details of a carbon tax for industry starting in 2021 in the National Climate Agreement.  The carbon tax would target all Dutch installations subject to the EU ETS, as well as waste incinerators currently not included in the EU ETS to provide them with a stronger incentive to reduce their emissions.  Installations would only have to pay the carbon tax if their emissions exceed their baseline based on benchmarks and a national reduction factor needed to reach the Dutch targets for the industry. The carbon tax comes on top of their compliance obligations in the EU ETS. The benchmarks will be based on the EU ETS free allocation benchmarks. Covered installations can also cooperate to reduce their emissions below their designated baseline. Revenues from the industry carbon tax would be earmarked to finance green industrial activities. ","The carbon floor price for electricity generator would be set at EUR12.3/tCO2 (US$15/tCO2e) in 2020, rising to EUR31.9/tCO2 (US$39/tCO2e) in 2030. With EUA prices around EUR20-25/tCO2e (US$22-27/tCO2e) in 2019 and projections used for establishing the floor price rates, the government expects electricity generators will not face any carbon costs from the floor price in the first few years of its implementation.  The bill for the carbon price floor is still in the legislative process, and if passed, it will enter into force a day after the final version has been officially published.    The level of the carbon tax for industry is to be determined, but according to initial estimates the tax would start at EUR30/tCO2 (US$33/tCO2e) and would rise to EUR125-150/tCO2 (US$137-164/tCO2e) in 2030. The Dutch government has scheduled a public consultation on the carbon tax for industry mid-2020. ",,,,,,,,,,,,,,,,,,,-,-,
New Brunswick ETS,ETS,Under consideration,TBC,"New Brunswick also submitted a proposal for its own OBPS for large industrial emitters to the federal government as an alternative to the federal OBPS.  The federal government is still in the process of reviewing this proposal. Meanwhile, New Brunswick remains subject to the federal OBPS.",No significant recent developments,,,,,,,,,,,,,,,,,,,,,
New Brunswick carbon tax,Carbon tax,Implemented,2020,"New Brunswick introduced a carbon tax as of April 1, 2020 to replace the imposed federal fuel charge on the province. It starts at CAN$30/tCO2e (US$23/tCO2e) in 2020 to align with the federal minimum carbon price. ","Following approval by the federal government, the New Brunswick carbon tax came into effect April 1, 2020 at a rate of CAN$30/tCO2e (US$23/tCO2e) in line with the federal minimum carbon price. The federal fuel charge component of the federal backstop system was removed.",New Brunswick,14 MtCO2e,39%,"The New Brunswick carbon tax applies to GHG emissions from all sectors with some exemptions for industry, agriculture, buildings, and transport sectors (see Competitiveness considerations and/or exemptions).   The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,"Fossil fuel electricity generation units are exempted and will not be subject to the carbon tax until late 2020. Certain uses of light fuel oil and propane are exempted, especially for domestic heating.","Producers, distributors and importers of the fossil fuels covered are liable for payment of the tax. ",Operators need to meet their compliance obligations on an annual basis.  ,Not applicable,N/A,Not applicable,"The tax rate is CAN$30/tCO2e in 2020, however price increases are currently not legislated yet. To comply with the federal benchmark, the carbon tax needs to increase annually by CAN$10 to reach CAN$50/tCO2e in 2022. ",N/A,US$68 million,The carbon tax is designed to meet the Canadian federal carbon pricing benchmark.,Not applicable,New Brunswick no longer included  New Brunswick Carbon Tax,,
New Zealand ETS,ETS,Implemented,2008,"The New Zealand Emissions Trading Scheme (NZ ETS) is New Zealand's principle policy response to climate change. Originally designed to cover the whole economy, it has the broadest sectoral coverage of any ETS by directly covering forestry, waste and liquid fossil fuels, as well as power and industry. The NZ ETS was originally conceived as a nested system under the Kyoto Protocol, with full links to international carbon markets. However, as of 1 June 2015, the NZ ETS became a domestic-only system. As indicated by New Zealand's NDC, re-establishing a link to high-integrity international carbon markets will form part of New Zealand's strategy for meeting its 2030 target.","On June 16, 2020, the New Zealand government completed comprehensive legislative reforms, strengthening the NZ ETS and aligning it with national emissions targets and long-term net-zero goals. After the passing of the Climate Change Response (Emissions Trading Reform and Zero Carbon) Amendment Acts, the government further announced regulatory settings for the NZ ETS from 2021-2025, which will establish a cap on emissions for the first time under the NZ ETS.In addition, the government has decided to phase-out free allocations for the industrial sector, at a rate of 1% per year between 2021 and 2030, increasing to 2% in 2030-2040 and 3% in 2040-2050.  Looking ahead, in early 2021, auctioning is to be introduced to the NZ ETS, and the reforms  provide for a cost containment reserve as a price ceiling and an auction reserve price as a price floor, hereby setting up a price corridor for the auctioning of units. In addition, the forestry sector is undergoing a raft of reforms, including simplified accounting measures (e.g. averaging) for new entrants.  Furthermore, the New Zealand government will put a price on GHG emissions from the agricultural sector, beginning in 2025. Agricultural GHG emissions, particularly from livestock are to be covered preferably at the farm level by levy/rebate system - a separate alternative pricing mechanism to the NZ ETS.  A partnership between the government and the agricultural sector, called ‘He Waka Eke Noa’, has been established to prepare for this pricing mechanism, including the development of on-farm accounting and reporting systems for GHG sources and sinks. However, if this partnership has not made enough progress by 2022 for implementation in 2025, then livestock emissions may be brought directly into the NZ ETS and priced at the processor level (e.g. milk processors). GHG emissions from fertilizers are likely to be covered upstream under the NZ ETS at the manufacturer level.",New Zealand,89 MtCO2e,51%,"The NZ ETS applies to GHG emissions (CO2, CH4, N2O, SF6, HFCs and PFCs) from the industry, power, waste, transport and forestry sectors and includes industrial process emissions. The agriculture sector needs to report its emissions but has no allowance surrendering obligations.",Not applicable,"34 MtCO2e (2018)  These represent the New Zealand Units (NZUs) surrendered in that year. The NZ ETS was originally designed to operate without a specific hard domestic cap as this accommodated carbon sequestration from forestry activities and a full link to the international Kyoto Protocol carbon markets, but in 2015 the allowance supply was restricted to NZUs. The NZ ETS will have its own fixed cap in the future.","Emission allowances are distributed via free allocation for industrial sectors on the basis of benchmarks and actual production activity data. The free allocation to industry also depends on their emission intensity and trade intensity. Operators with recognized industrial processes can receive allowances for export of products that embed carbon and other GHGs. Post-1989 forestry owners receive free allowances for the CO2 removed by their forest land. Operators can also purchase allowances from the government at a fixed price. While allowances have not been auctioned, this is an allocation approach which may be used in the future. ",Emissions-intensive and trade-exposed sectors at risk of carbon leakage receive free allowances of between 60 - 90% of the benchmark level.,The point of regulation of the NZ ETS is as far upstream as possible. Fossil fuel importers and suppliers are liable for reporting the GHG emissions associated with their energy product at a facility level and surrendering an equivalent amount of emission allowances. Covered industrial facilities are liable for their process emissions. Importers of synthetic GHGs face an annually fixed levy based on the allowance price.,"Operators need to meet their compliance obligations on an annual basis, except for those in the forestry sector, who have five-yearly compliance obligations.",Not applicable,NZ$34/tCO2e (US$20/tCO2e),Operators can buy an emission allowance from the government at a fixed price of NZ$25/tCO2e for compliance. This effectively acts as a price ceiling on the price of allowances. The fixed price option will remain until it is replaced with a CCR incorporated into the auctioning mechanism. ,Not applicable,US$251 million,US$481 million,New Zealand and China signed a bilateral climate change action plan to cooperate on carbon markets. The plan includes identifying opportunities for collaboration with other countries in the Asia-Pacific region to discuss potential linking.,"New Zealand started discussions with Korea on developing carbon markets in the Asia-Pacific region. In addition, on December 17, 2018, New Zealand annouched its goal of strengthening its bilateral cooperation on emissions trading with the EU.",Ministry for the Environment - New Zealand Emissions Trading Scheme Climate Change Response Act 2002 - Part 4 'New Zealand greenhouse gas emissions trading scheme Agricultural emissions in NZ ETS,ICAP New Zealand ETS factsheet ,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the New Zealand ETS can be found here
Newfoundland and Labrador PSS,ETS,Implemented,2019,"On October 23, 2018, Newfoundland and Labrador announced the Made-in-Newfoundland and Labrador approach to carbon pricing. The approach aims to minimize the impact of carbon pricing on residents and maintain the province's economic competitiveness while reducing GHG emissions and continue efforts to produce renewable energy. The province's carbon pricing system consists of a carbon tax and a baseline-and-credit ETS.","Newfoundland and Labrador implemented the Performance Standards System (PSS) as of January 1, 2019. This baseline-and-credit ETS will apply to large industrial facilities and electricity generation. ",Newfoundland and Labrador,11 MtCO2e,43%,The Newfoundland and Labrador PSS applies to GHG emissions from the industry and power sectors.,Not applicable,The total emission limit under the Newfoundland and Labrador PSS is the bottom-up combination of the absolute emission baseline for each covered facility.,"The absolute emissions baseline of each onshore facility (i.e. their freely allocated emission level) is determined by a combination of historical emission intensity, actual production activity data and an annually decreasing reduction factor (target level). Facilities can opt to be regulated under a sector benchmark where feasible. The emissions baseline for offshore facilities is based on historical emissions and an annual reduction target.  Operators can earn Performance credits if their emission intensity is below the target level, and sell these credits to other covered operators or bank them for future compliance cycles.","Operators do not have to pay for GHG emissions up to their freely allocated emission level. Only if the freely allocation emission level is exceeded, operators must surrender a number of credits. Facilities with fewer than 25 ktCO2e emissions are exempted from the Newfoundland and Labrador PSS.","Operators are liable for reporting the emissions covered under the Newfoundland and Labrador PSS at a facility level and meet their compliance obligations for the emissions above the emission intensity target (onshore facilities) or absolute emissions target (offshore facilities). For onshore facilities, this is equivalent to the actual production activity level multiplied by the difference between the actual and baseline emissions intensity. Operators can meet their compliance obligations through surrendering an equivalent amount of Greenhouse Gas Reduction credits, Performance credits or offset credits. Greenhouse Gas Reduction Fund credits can be purchased at the price of the carbon tax level (CAN$20 in 2019). Quantitative restrictions for the use of Performance and Greenhouse Gas Reduction credits apply.",Operators need to meet their compliance obligations on an annual basis.,Operators can use offset credits to meet their compliance obligations. Protocols for eligible offsets are currently being developed.,N/A,Operators can purchase Greenhouse Gas Reduction credits at a fixed price equal to the carbon tax rate and use them to meet 100% of their compliance obligations for 2019. This effectively acts as a temporary price ceiling on the price of eligible credits. The % of Greenhouse Gas Reduction credits that can be used for compliance decreases annually.,Not applicable,N/A,N/A,Operators under the Newfoundland and Labrador PSS are not covered under the Newfoundland and Labrador carbon tax,Not applicable,Management of Greenhouse Gas Regulations ,-,
Newfoundland and Labrador carbon tax,Carbon tax,Implemented,2019,"The carbon tax covers fuels primarily used in transportation, building heating, and electricity generation and started at CAN$20/tCO2e (US$14/tCO2e)","The Newfoundland and Labrador government had planned to raise its carbon tax to CAN$30/tCO2e (US$21/tCO2e) on April 1, 2020, but this has been delayed until further notice due to impacts of COVID-19.",Newfoundland and Labrador,11 MtCO2e,47%,"The Newfoundland and Labrador carbon tax applies to GHG emissions from all sectors with some exemptions for industry, agriculture and transport sectors (see Competitiveness considerations and/or exemptions).   The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,"Certain uses of fossil fuels in industry, agriculture and transport are exempt from the tax.","Producers, distributors and importers of the fossil fuels covered are liable for payment of the tax. ",The tax is to be paid on a monthly basis.,Not applicable,N/A,Not applicable,"The tax rate is CAN$20/tCO2e in 2019, increasing annually by CAN$10 to reach CAN$50/tCO2e in 2022. ",US$41 million,US$64 million,The carbon tax is based on the Canada federal carbon tax,Not applicable,Carbon tax,-,
Northwest Territories carbon tax,Carbon tax,Implemented,2019,"The Northwest Territories carbon tax went into force as of September 1, 2019. The carbon tax covers all fossil fuels as part of the territory's Made-in-the-North approach to incentivize investments in initiatives and programs to lead to greater use of renewable and cleaner fuels, while minimizing impacts on the cost of living and doing business. ","The initial CAN$20/tCO2e (US$14/tCO2e) 2019 tax rate will increase annually by CAN$10 (US$7/tCO2e) to reach CAN$30/tCO2e (US$21/tCO2e) on July 1, 2020 and CAN$50/tCO2e (US$35/tCO2e) in 2022. Various rebates have been introduced with the carbon tax to offset a part of the carbon cost on residents, governments and business entities. ",Northwest Territories,2 MtCO2e,79%,The NWT carbon tax applies to CO2 emissions from all types of fuel.,Not applicable,Not applicable,Not applicable,"Operators will not have to pay the carbon tax if the fuel is delivered outside the Northwest Territories. Also, aviation fuel and non-marketable natural gas are exempt.","Producers, distributors and importers of the fossil fuels covered are liable for payment of the tax. ",The tax is to be paid on a monthly basis.,Not applicable,N/A,Not applicable,"The tax rate is CAN$20/tCO2e (US$15/tCO2e) in 2019, increasing annually by CAN$10 (US$8/tCO2e) to reach CAN$50/tCO2e (US$39/tCO2e).",US$5 million,US$18 million,Not applicable,Not applicable,Petroleum Products Tax Act,Bill 42 summary,
Norway carbon tax,Carbon tax,Implemented,1991,The Norway carbon tax (official name: CO2 avgift) aims to achieve cost-effective GHG emissions. The carbon tax is split into an excise tax on mineral products and a separate law for petroleum activities on the continental shelf.,"Norway increased the full rate of its carbon tax from NOK508/tCO2e (US$49/tCO2e) in 2019 to NOK544/tCO2e (US$53/tCO2e) in 2020. Initially, the government removed certain exemptions for natural gas and liquefied petroleum gas for certain industrial processes as of January 1, 2020 to strengthen its climate policy and improve the cost-effectiveness of its carbon tax.  However, in relation to the COVID-19 disruption the Parliament has decided to reinstate the exemption for natural gas and liquefied petroleum as of April 1, 2020.  The intention is to remove the exemption in steps of 25% per year between 2021 and 2024.  In addition, as of January 1, 2020, the exemptions for fuels used on fishing vessels was also removed, but to facilitate a low-carbon transition of the fishing sector, temporary compensation measures were introduced. In 2020, the effective carbon tax rate for the fishing sector after compensation is equal to the original reduced rate of 2019 after taking inflation into account. The compensation levels are to be reduced in a stepwise manner over time.",Norway,75 MtCO2e,62%,The Norway carbon tax applies to GHG emissions from all sectors with some exemptions for certain sectors (see Competitiveness considerations and/or exemptions). The carbon tax also covers natural gas that is emitted directly into the atmosphere; the effective tax rate for this category is comparable with the tax rate that applies to CO2 emissions resulting from natural gas combustion.   The tax covers liquid and gaseous fossil fuels.,30%  Estimated based on overlap with: EU ETS,Not applicable,Not applicable,"Operators covered by the EU ETS are exempt from the carbon tax, except for offshore oil production actitivities that experience the highest tax rate in order to encourage the use of electricity generated onshore instead of electricity generated on the petroleum platforms. The use of fossil fuels in certain sectors and/or for certain purposes is also (partially) exempt from the carbon tax, including international aviation and international shipping, export of the fuels covered and the share of biofuels in mineral oil.","Producers, distributors and importers of the fossil fuels covered are liable for payment of the tax. ",The carbon tax on mineral products is to be paid on a monthly basis. The tax for offshore petroleum is to be paid on a biannual basis.,Not applicable,Upper: NOK545/tCO2e (US$53/tCO2e). Lower: NOK31/tCO2e (US$3/tCO2e),Not applicable,See Recent developments,US$1374 million,US$1455 million,"Operators covered by the EU ETS are exempt from the carbon tax, except for offshore oil production actitivities (see Competitiveness considerations and/or exemptions).",Not applicable,Norway Climate Information,-,
Nova Scotia CaT,ETS,Implemented,2019,"Nova Scotia's cap-and-trade program started operation in 2019 and aims to reduce greenhouse gas emissions in the province. It intends to keep the cost of carbon pricing low for all Nova Scotians while meeting the federal requirements on carbon pricing. Revenues from the ETS will be transferred to the Green Fund, which serves several purpose including financing measures to reduce emissions, research and development of innovative technologies aimed at tackling GHG emissions, and climate change adaptation activities. ","Nova Scotia launched its cap-and-trade ETS launched in January 2019. The ETS compliance period is 2019-2022. Its first allocation of allowances occurred in April 2019 and auctioning started in June 2020. Regulated entities have the option to consign allowances to auction. In addition, purchase limits apply in order to secure market functioning. ",Nova Scotia,17 MtCO2e,80%,"The Nova Scotia Cap-and-Trade program applies to GHG emissions (CO2, CH4, N2O, SF6, NF3, HFCs and PFCs) from the industrial, electricity, transport and heating sectors.",Not applicable,14 MtCO2e (2019)  The total amount of emission allowances is determined top-down and decreases annually.,"Emission allowances under the cap are distributed via a combination of free allocation and auctioning. In 2019, all allowances will be distributed for free. Industrial facilities receive free allowances according to historical emission intensities, actual production volumes, a general cap adjustment factor and a sector-specific assistance factor. Electricity importers and fuel suppliers receive 80% of their historical emissions as free allowances. The largest utility in the province, Nova Scotia Power Inc, receives free allowances based on 90% of its BAU emission projections. Starting from 2020, the province will start auctioning some allowances. ","Operators can receive industry assistance as free allowances up to 100% of the base allowances (emission intensity times production levels) depending on their sector. Also, small emitters are exempt from the Nova Scotia CaT.","Industry operators (> 50,000 tCO2e) are liable for reporting their covered emissions at a facility level. In the power sector, Nova Scotia Power Inc or the electricity importer are liable. For transport and buildings sector, the suppliers of transport fuels and natural gas distributors are liable. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",The compliance cycle is based on a four-year compliance period. Operators have to submit their emissions reports on an annual basis. Operators need to meet their compliance obligations by December 15 in the year after the compliance period ends.,"The ETS legislation includes the ability to develop offsets. However, offsets will not be available to the ETS at the start date of January 1, 2019. The province intends to develop offset protocols or adapt them from existing protocols in other jurisdictions. ",N/A,"In 2019, the government will place 3% of allowances available under the yearly caps into a reserve. These emission allowances may be used for cost containment, for new entrants whose GHG emissions are not currently accounted for and that qualify for free allocation, and for adjustments in free allocation based on actual production.  When auctioning starts in 2020, a minimum price of CAN$20 per allowance will apply, rising by 5% plus inflation per year. ",Not applicable,N/A,N/A,The Nova Scotia Cap-and-Trade program meets the federal carbon pricing requirements and the federal backstop is therefore not applied.,"In May 2018, Nova Scotia became a member of the Western Climate Initiative (WCI), a collaboration of American and Canadian sub-nationals advancing emissions trading. Nova Scotia uses WCI's online system to run its cap-and-trade program,  but currenlty remains independent from the linked WCI jurisdictions (California and Quebec).","Nova Scotia's Cap-and-Trade program Cap-and-Trade Program Regulations, Section 112Q of the Environment Act Environment Act Nova Scotia's Cap and Trade Program - Regulatory Framework",ICAP Nova Scotia Cap-and-Trade program factsheet,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Nova Scotia CaT can be found here
Ontario ETS,ETS,Under consideration,TBC,Ontario is developing an alternative baseline-and-credit ETS to the federal system for large industrial facilities following the federal government's assessment that the provincial carbon pricing plan did not meet the federal benchmark. The proposed system shows similarities with the federal OBPS.,The EPS is under review by the federal government and Ontario is still subject to the federal backstop OBPS.,,,,,,,,,,,,,,,,,,,,,
Oregon ETS,ETS,Under consideration,TBC,Oregon has been trying to introduce various carbon pricing bills over the past years.,"After two bills proposing a cap-and-trade system failed to pass the Oregon legislature in 2019 and 2020, House Bill 2020 (HB-2020) and Senate Bill 1530 (SB-1530), an executive order was signed by the state’s governor on March 10, 2020 for a 'Cap and Reduce Program' for large stationary sources of emissions, transportation fuels, natural gas, and other fossil fuels. No details on program design were provided by the government. The Department of Environmental Quality (DEQ) has since submitted a preliminary report on May 15, 2020, and a final report on June 30, 2020, both focused on program options to cap and reduce emissions. DEQ hosted a series of online technical workshops during August and September of 2020 to discuss specific program design elements, options, and implications to inform program scoping prior to formal rulemaking.  The proposed cap is in line with previous legislation requiring a 45% reduction in GHG emissions based on 1990 levels by 2035 and at least an 80% reduction by 2050. DEQ has begun working to design GHG caps for the fuel and industrial sectors. The intended start date of the program is in 2022.",,,,,,,,,,,,,,,,,,,Oregon Climate Action Program,ICAP Oregon factsheet ICAP ETS Map,
Pennsylvania ETS,ETS,Under consideration,TBC,"On October 3, 2019, the government signed an executive order to develop a proposal for an ETS covering the power sector, with the intention to join or link with RGGI. The first draft of an ETS proposal was released on January 30, 2020 by Pennsylvania's Department of Environmental Protection. The draft proposal is largely consistent with the system design features of the RGGI Model Rule, including the implementation of an emissions containment reserve and a cost containment reserve, as well as quarterly auctions to allocate allowances.","On September 15, 2020 Pennsylvania’s Environmental Quality Board approved the final ETS proposal and released it for public comment on November 6, 2020 . The regulation is currently going through a 60-day public comment period until January 14, 2021 followed by the state’s regulatory review process before a final proposal can be adopted in 2021. The state legislature tried to block the implementation of the ETS regulation and the RGGI linkage with bill HG-2025 by requiring legislative approval for any regional carbon pricing initiative initiated by the state government, but this bill was vetoed by the governor. The earliest start date for Pennsylvania's ETS and its linkage to RGGI is envisaged to be 2022.",,,,,,,,,,,,,,,,,,,Climate Change Regulation,,
Poland carbon tax,Carbon tax,Implemented,1990,"The Poland carbon tax is part of the Environmental Protection Act (Prawo ochrony ?rodowiska), which taxes different kinds of environmental emissions such as CO2 emissions, dust, sewage and waste.",No significant recent developments,Poland,429 MtCO2e,4%,The Poland carbon tax applies to GHG emissions from all sectors with some exemptions for certain entities (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels and other fuels leading to GHG emissions.,Not applicable,Not applicable,Not applicable,Operators covered by the EU ETS are exempt from the carbon tax. Entities are also exempt if the annual tax amount due under the Environmental Protection Act is less than 800 z?oty.  ,The users of the fossil fuels covered are liable for payment of the tax.,The tax is to be paid on an annual basis.,Not applicable,PLZ0.3/tCO2e (US$0.07/tCO2e),Not applicable,Not available,US$1 million,US$1 million,Operators covered by the EU ETS are exempt from the carbon tax.,Not applicable,Fees for using the environment,-,
Portugal carbon tax,Carbon tax,Implemented,2015,The Portugal carbon tax is an excise tax under the special taxes on consumption (Codigo dos Impostos Especiais de Consumo). The tax was introduced as part of wider package of green tax reforms and serves as a complementary policy measure to the EU ETS.,"Portugal’s government is phasing out certain fossil fuel exemptions under its tax on energy and petroleum products—which includes a carbon tax, aligning its fiscal policy with the energy transition and its decarbonization objectives. Revenues will be used for decarbonization and other climate action measures. This developments coincide with the almost doubling of the full carbon tax rate in 2020 from EUR12.74/tCO2e (US$13/tCO2e) to EUR23.619/tCO2e (US$26/tCO2e), as the carbon tax rate is tied to the average EU ETS price in the preceding year.  Specifically for coal-fired electricity generation and co-generation facilities that participate in the EU ETS, their carbon tax rate for 2020 is based on 50 % of the difference between the full carbon tax rate and a target carbon price of EUR25/tCO2e, resulting EUR0.69/tCO2e (US$1/tCO2e) on top of the EU ETS price they face. In addition, non-ETS emitters are taxed for the fuel oil and natural gas used to generate electricity in 2020 at 25 % and 10 % of the carbon tax rate, respectively, whereas they were previously fully exempted. The government will also reassess other carbon tax exemptions.",Portugal,81 MtCO2e,29%,"The Portugal carbon tax applies to CO2 emissions from mainly the industry, buildings and transport sectors with some exemptions for these and other sectors (see Competitiveness considerations and/or exemptions).  The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,Certain industrial processes (notably non-combustion usage) and modes of transport and vulnerable consumers are (partly) exempt from the carbon tax. ,Distributors and importers of the fossil fuels covered are liable for payment of the tax.,The carbon tax is to be paid on a monthly basis. ,Not applicable,EUR24/tCO2e (US$26/tCO2e),Not applicable,The tax rate is determined annually based on the average EU ETS allowance in the preceding year.,US$281 million,US$520 million,Operators covered by the EU ETS are exempt from the tax. The tax rate under the Carbon Price Floor depends on the EU ETS price (See Future price developments).,Not applicable,Carbon tax legislation,-,
Prince Edward Island carbon tax,Carbon tax,Implemented,2019,"The Prince Edward Island carbon tax has been in force since April 1, 2019.  The carbon tax is in line with the federal fuel charge and is currently at CAN$30/tCO2e (US$21/tCO2e). ","Prince Edward Island was allowed by the federal government to partially offset the increase of fuel prices due to the carbon tax by a reduction of the excise tax.  This is part of a 2-year deal between Prince Edward Island and the federal government, which also allows Prince Edward Island to reduce the scope of the carbon tax so it does not apply to furnace oil used for heating or on propane.",Prince Edward Island,2 MtCO2e,44%,"The Prince Edward Island carbon tax applies to GHG emissions from all sectors with some exemptions for industry, agriculture and transport sectors (see Competitiveness considerations and/or exemptions).   The tax covers all fossil fuels.",Not applicable,Not applicable,Not applicable,"Various exemptions including fuel used by farmers, fishers, aquaculturists, international aviation and shipping, and fuels used by facilities under the federal OBPS. Furnace oil used for heating and propane are exempt, subject to a review in 2020.","Producers, distributors and importers of the fossil fuels covered are liable for payment of the tax. ",The tax is to be paid on a monthly basis.,Not applicable,N/A,Not applicable,"The tax rate is CAN$20/tCO2e in 2019, increasing annually by CAN$10 to reach CAN$50/tCO2e in 2022. ",US$7 million,US$12 million,The carbon tax is based on the Canada federal carbon tax,Not applicable,Carbon levy,-,
Quebec CaT,ETS,Implemented,2013,The Quebec Cap-and-Trade System aims to reduce GHG emissions in the highest emitting sectors by promoting energy efficiency as well as the use of energy from renewable sources. The cap-and-trade system intends to stimulate innovation by fostering the emergence of new low carbon drivers for economic development. ,"In October 2020, the National Assembly of Quebec passed Bill 44 , which amends numerous pieces of environmental legislation. Among the changes are strengthening the authority of the Ministry of the Environment and the Fight against Climate Change over revenue use from the cap-and-trade system and dedicating the province’s Green Fund to climate change measures. Bill 44 also allows the provincial government to enact a key part of its post-2023 reform to free allocation, whereby planned reductions in free allocation are sold at auction and the resulting revenues are reserved for industrial emitters for mitigation and technology development. Regulations for post-2023 free allocation, including updated assistance factors and benchmarks, are expected to be finalized in 2021.",Quebec,78 MtCO2e,85%,"The Quebec CaT applies to GHG emissions from the industry, power, transport and buildings sectors and includes industrial process emissions.",Not applicable,55 MtCO2e (2020)  The total amount of emission allowances is determined top-down and decreases annually.,"Emission allowances under the cap are distributed via a combination of free allocation and auctioning. Free allowances are generally allocated using benchmarks based on input of material or output of products, production levels, and an increasingly stringent GHG emission intensity target that varies per activity. Electricity producers and distributors, as well as fuel distributors, do not receive any free allocation.","Emission-intensive, trade-exposed sectors at risk of carbon leakage receive free allowances up to 100% of the benchmark level, reduced by an increasingly stringent GHG emission intensity target that varies per activity. Also, small emitters are exempt from the Quebec CaT.","Industry operators (> 25,000 tCO2e) are liable for reporting their covered emissions at facility level. In the power sector, the entity liable is the first deliverer of electricity: the electricity generator or importer. For transport and buildings sector, the supplier of transport fuels and natural gas is liable. All liable entities need to surrender an equivalent amount of emission allowances (and eligible offsets). ",The compliance cycle is based on a three-year compliance period. Operators have to submit their emissions reports on an annual basis by June 1 of the following year and need to meet their compliance obligations by November 1 in the year after the three year compliance period ends.,Operators can use eligible offsets to meet up to 8% of their compliance obligations. Only offsets generated in Canada or those from a linked jurisdiction (California) are eligible. Offsets need to meet the requirements of all applicable offset protocols.,US$17/tCO2e,"An auction reserve price (i.e. the minimum price that allowances can be sold for at an auction) was set at CAN$15.31/tCO2 in 2019. There is also an allowance price containment reserve. Allowances held in the reserve may be sold as 'sales by mutual agreement' by the Minister in three tiers at CAN$56.96, CAN$64.07, and CAN$71.19 in 2019. The auction reserve price and price containment reserve prices increase annually by 5% plus inflation.",Not applicable,US$969 million,US$838 million,The Quebec CaT has linked with the California CaT since 2014 under the Western Climate Initiative (WCI).  The Quebec Cap-and-Trade system meets the federal carbon pricing requirements and the federal backstop is therefore not applied.,Not applicable,The Quebec Cap and Trade System for Greenhouse Gas Emissions Allowances Regulation respecting a cap-and-trade system for greenhouse gas emission allowances  Amendments to the regulation ,ICAP Quebec Cap-and-Trade system factsheet: ,The data for this factsheet is provided by the the International Carbon Action Partnership (ICAP) Secretariat and is an abbreviated entry of the factsheet for the ICAP ETS Map. The complete ICAP factsheet for the Quebec CaT can be found here
